# review-lint-baseline.txt — generated by scripts/review-lint.sh --update
# Pre-existing hits, GRANDFATHERED per file: they may stay, but may never grow, and a
# file not listed here must have zero hits. Fix a file and re-run --update to tighten.
#
# <RULE> <path> <count>
refs-word-splitting scripts/lib/effort-ops-test.sh 1
fence-missing-language .claude/rules/branch-naming.md 1
fence-missing-language .claude/rules/effort-model.md 1
fence-missing-language .claude/skills/karpathy-guidelines/SKILL.md 1
fence-missing-language CONTRIBUTING.md 1
fence-missing-language README.md 1
fence-missing-language skills/kit-autopilot/SKILL.md 2
fence-missing-language skills/kit-dev/SKILL.md 1
fence-missing-language skills/kit-next/SKILL.md 3
fence-missing-language skills/kit-plan-next/SKILL.md 2
fence-missing-language skills/kit-task-sync/SKILL.md 1
fence-missing-language skills/kit-ux-audit/references/graph-model.md 2
fence-missing-language skills/kit-ux-audit/references/heuristics.md 1
fence-missing-language templates/agents/security.md 1
fence-missing-language templates/agents/ux.md 1
fence-missing-language templates/rules/branch-naming.md 1
fence-missing-language templates/rules/effort-model.md 1
fence-missing-language templates/rules/plan-next.md 1
fence-missing-language templates/rules/plan-output-format.md 1
fence-missing-language templates/skills/copywriting/references/copy-frameworks.md 5
fence-missing-language templates/skills/feature-build-refine/SKILL.md 2
fence-missing-language templates/skills/karpathy-guidelines/SKILL.md 1
fence-missing-language templates/skills/speckit/SKILL.md 2
