# skill-frontmatter-baseline.txt — generated by scripts/skill-frontmatter-lint.sh --update
# Skills whose description+when_to_use exceed the 500-byte listing budget.
# These are GRANDFATHERED: allowed to stay, but may never grow. Shrink them and re-run
# --update to tighten the ratchet. A skill that drops under budget leaves this file.
#
# <skill> <bytes>
kit-ux-audit 2181
kit-status 2004
kit-docs-writer 780
kit-onboard 728
kit-effort-start 717
kit-autopilot 686
concrete 679
kit-plan-next 674
kit-effort-close 592
kit-effort-new 578
kit-security-sweep 560
kit-cleanup 560
kit-dev 544
kit-contribute 538
kit-next 535
kit-annotate 534
kit-effort-pr 534
kit-ship 520
